表記	正規化表記	品詞	読み	シリーズ	辞書種別
黒沢ともよ	黒沢ともよ	人名	もよちー	aikatsu	actor
もよちー	もよちー	人名	もよちー	aikatsu	actor
沼倉愛美	沼倉愛美	人名	ぬまくらまなみ	aikatsu	actor
ぬーぬー	ぬーぬー	人名	ぬまくらまなみ	aikatsu	actor
沼倉愛美	沼倉愛美	人名	ぬーぬー	aikatsu	actor
ぬーぬー	ぬーぬー	人名	ぬーぬー	aikatsu	actor
安野希世乃	安野希世乃	人名	やすのきよの	aikatsu	actor
きよのん	きよのん	人名	やすのきよの	aikatsu	actor
やすきよ	やすきよ	人名	やすのきよの	aikatsu	actor
安野希世乃	安野希世乃	人名	きよのん	aikatsu	actor
きよのん	きよのん	人名	きよのん	aikatsu	actor
安野希世乃	安野希世乃	人名	やすきよ	aikatsu	actor
やすきよ	やすきよ	人名	やすきよ	aikatsu	actor
三村ゆうな	三村ゆうな	人名	みむらゆうな	aikatsu	actor
瀬戸麻沙美	瀬戸麻沙美	人名	せとあさみ	aikatsu	actor
森谷里美	森谷里美	人名	もりやさとみ	aikatsu	actor
下地紫野	下地紫野	人名	しもじしの	aikatsu	actor
しのしー	しのしー	人名	しもじしの	aikatsu	actor
下地紫野	下地紫野	人名	しのしー	aikatsu	actor
しのしー	しのしー	人名	しのしー	aikatsu	actor
照井春佳	照井春佳	人名	てらいはるか	aikatsu	actor
ぱるにゃす	ぱるにゃす	人名	てらいはるか	aikatsu	actor
照井春佳	照井春佳	人名	ぱるにゃす	aikatsu	actor
ぱるにゃす	ぱるにゃす	人名	ぱるにゃす	aikatsu	actor
和久井優	和久井優	人名	わくいゆう	aikatsu	actor
ポットちゃん	ポットちゃん	人名	わくいゆう	aikatsu	actor
石川由依	石川由依	人名	いしかわゆい	aikatsu	actor
齋藤綾	齋藤綾	人名	さいとうあや	aikatsu,friends	actor
高田憂希	高田憂希	人名	たかだゆうき	aikatsu,friends	actor
ゆっきー	ゆっきー	人名	たかだゆうき	aikatsu,friends	actor
高田憂希	高田憂希	人名	ゆっきー	aikatsu,friends	actor
川上千尋	川上千尋	人名	かわかみちひろ	aikatsu	actor
ちーちゃん	ちーちゃん	人名	かわかみちひろ	aikatsu	actor
川上千尋	川上千尋	人名	ちーちゃん	aikatsu	actor
小岩井ことり	小岩井ことり	人名	こいわいことり	aikatsu	actor
こっこちゃん	こっこちゃん	人名	こいわいことり	aikatsu	actor
小岩井ことり	小岩井ことり	人名	こっこちゃん	aikatsu	actor
こっこちゃん	こっこちゃん	人名	こっこちゃん	aikatsu	actor
福沙奈恵	福沙奈恵	人名	ふくさなえ	aikatsu,friends	actor
石原夏織	石原夏織	人名	いしはらかおり	aikatsu	actor
キャリさん	キャリさん	人名	いしはらかおり	aikatsu	actor
石原夏織	石原夏織	人名	キャリさん	aikatsu	actor
キャリさん	キャリさん	人名	キャリさん	aikatsu	actor
秋奈	秋奈	人名	あきな	aikatsu	actor
高橋未奈美	高橋未奈美	人名	たかはしみなみ	aikatsu	actor
たかみな	たかみな	人名	たかはしみなみ	aikatsu	actor
高橋未奈美	高橋未奈美	人名	たかみな	aikatsu	actor
たかみな	たかみな	人名	たかみな	aikatsu	actor
高橋未奈美	高橋未奈美	人名	みーな	aikatsu	actor
冨岡美沙子	冨岡美沙子	人名	とみおかみさこ	aikatsu	actor
みしゃこ	みしゃこ	人名	とみおかみさこ	aikatsu	actor
冨岡美沙子	冨岡美沙子	人名	みしゃこ	aikatsu	actor
寿美菜子	寿美菜子	人名	ことぶきみなこ	aikatsu	actor
洲崎綾	洲崎綾	人名	すざきあや	aikatsu	actor
あやっぺ	あやっぺ	人名	すざきあや	aikatsu	actor
ぺっちゃん	ぺっちゃん	人名	すざきあや	aikatsu	actor
洲崎綾	洲崎綾	人名	あやっぺ	aikatsu	actor
あやっぺ	あやっぺ	人名	あやっぺ	aikatsu	actor
洲崎綾	洲崎綾	人名	ぺっちゃん	aikatsu	actor
ぺっちゃん	ぺっちゃん	人名	ぺっちゃん	aikatsu	actor
関根明良	関根明良	人名	せきねあきら	aikatsu	actor
伊藤かな恵	伊藤かな恵	人名	いとうかなえ	aikatsu	actor
かなめぐ	かなめぐ	人名	いとうかなえ	aikatsu	actor
伊藤かな恵	伊藤かな恵	人名	かなめぐ	aikatsu	actor
かなめぐ	かなめぐ	人名	かなめぐ	aikatsu	actor
矢野亜沙美	矢野亜沙美	人名	やのあさみ	aikatsu	actor
上田麗奈	上田麗奈	人名	うえだれいな	aikatsu,stars	actor
うえしゃま	うえしゃま	人名	うえだれいな	aikatsu,stars	actor
上田麗奈	上田麗奈	人名	うえしゃま	aikatsu,stars	actor
うえしゃま	うえしゃま	人名	うえしゃま	aikatsu,stars	actor
藤田茜	藤田茜	人名	ふじたあかね	aikatsu	actor
山下七海	山下七海	人名	やましたななみ	aikatsu	actor
ななみん	ななみん	人名	やましたななみ	aikatsu	actor
山下七海	山下七海	人名	ななみん	aikatsu	actor
ななみん	ななみん	人名	ななみん	aikatsu	actor
松谷彼哉	松谷彼哉	人名	まつたにかや	aikatsu	actor
保村真	保村真	人名	やすむらまこと	aikatsu,friends	actor
豊永利行	豊永利行	人名	とよながとしゆき	aikatsu	actor
平川大輔	平川大輔	人名	ひらかわだいすけ	aikatsu,stars,friends	actor
遠藤綾	遠藤綾	人名	えんどうあや	aikatsu	actor
宮本佳那子	宮本佳那子	人名	みやもとかなこ	aikatsu	actor
加隈亜衣	加隈亜衣	人名	かくまあい	aikatsu	actor
くまちゃん	くまちゃん	人名	かくまあい	aikatsu	actor
浅川悠	浅川悠	人名	あさかわゆう	aikatsu	actor
藤村歩	藤村歩	人名	ふじむらあゆみ	aikatsu	actor
田丸篤志	田丸篤志	人名	たまるあつし	aikatsu	actor
能登麻美子	能登麻美子	人名	のとまみこ	aikatsu	actor
子安武人	子安武人	人名	こやすたけひと	aikatsu	actor
富田美憂	富田美憂	人名	とみたみゆ	stars	actor
朝井彩加	朝井彩加	人名	あさいあやか	stars	actor
山口愛	山口愛	人名	やまぐちめぐみ	stars	actor
めぐちゃん	めぐちゃん	人名	やまぐちめぐみ	stars	actor
山口愛	山口愛	人名	めぐちゃん	stars	actor
村上奈津実	村上奈津実	人名	むらかみなつみ	stars	actor
なっちゃん	なっちゃん	人名	むらかみなつみ	stars	actor
村上奈津実	村上奈津実	人名	なっちゃん	stars	actor
宮本侑芽	宮本侑芽	人名	みやもとゆめ	stars	actor
津田美波	津田美波	人名	つだみなみ	stars	actor
津田ちゃん	津田ちゃん	人名	つだみなみ	stars	actor
日笠陽子	日笠陽子	人名	ひかさようこ	stars	actor
ぴかしゃ	ぴかしゃ	人名	ひかさようこ	stars	actor
ひよっち	ひよっち	人名	ひかさようこ	stars	actor
日笠陽子	日笠陽子	人名	ぴかしゃ	stars	actor
日笠陽子	日笠陽子	人名	ひよっち	stars	actor
江口菜子	江口菜子	人名	えぐちなこ	stars	actor
藤原夏海	藤原夏海	人名	ふじわらなつみ	stars	actor
前田佳織里	前田佳織里	人名	まえだかおり	stars	actor
かおりん	かおりん	人名	まえだかおり	stars	actor
前田佳織里	前田佳織里	人名	かおりん	stars	actor
古賀葵	古賀葵	人名	こがあおい	stars	actor
八代拓	八代拓	人名	やしろたく	stars	actor
上村祐翔	上村祐翔	人名	うえむらゆうと	stars	actor
ランズベリー・アーサー	ランズベリー・アーサー	人名	らんずべりーあーさー	stars	actor
堀江瞬	堀江瞬	人名	ほりえしゅん	stars	actor
ホリエル	ホリエル	人名	ほりえしゅん	stars	actor
堀江瞬	堀江瞬	人名	ホリエル	stars	actor
神田朱未	神田朱未	人名	かんだあけみ	stars	actor
霧島若歌	霧島若歌	人名	きりしまわか	aikatsu	actor
霧島若歌	霧島若歌	人名	わか	aikatsu	actor
若歌	若歌	人名	わか	aikatsu	actor
上花楓裏	上花楓裏	人名	うえばなふうり	aikatsu	actor
上花楓裏	上花楓裏	人名	ふうり	aikatsu	actor
楓裏	楓裏	人名	ふうり	aikatsu	actor
吉河順央	吉河順央	人名	よしかわすなお	aikatsu	actor
吉河順央	吉河順央	人名	すなお	aikatsu	actor
市倉有菜	市倉有菜	人名	いちくらゆな	aikatsu	actor
市倉有菜	市倉有菜	人名	ゆな	aikatsu	actor
美谷玲実	美谷玲実	人名	みたにれみ	aikatsu	actor
美谷玲実	美谷玲実	人名	れみ	aikatsu	actor
山崎もえ	山崎もえ	人名	やまざきもえ	aikatsu	actor
山崎もえ	山崎もえ	人名	もえ	aikatsu	actor
愛野えり	愛野えり	人名	あいのえり	aikatsu	actor
愛野えり	愛野えり	人名	えり	aikatsu	actor
ささかまリス子	ささかまリス子	人名	ささかまりすこ	aikatsu	actor
ささかまリス子	ささかまリス子	人名	りすこ	aikatsu	actor
遠藤瑠香	遠藤瑠香	人名	えんどうるか	aikatsu,stars	actor
るかぴょん	るかぴょん	人名	えんどうるか	aikatsu,stars	actor
遠藤瑠香	遠藤瑠香	人名	るか	aikatsu,stars	actor
るかぴょん	るかぴょん	人名	るか	aikatsu,stars	actor
巴山萌菜	巴山萌菜	人名	ともやまもな	aikatsu	actor
巴山萌菜	巴山萌菜	人名	もな	aikatsu	actor
未来みき	未来みき	人名	みらいみき	aikatsu,stars	actor
みきみき	みきみき	人名	みらいみき	aikatsu,stars	actor
みーたん	みーたん	人名	みらいみき	aikatsu,stars	actor
未来みき	未来みき	人名	みき	aikatsu,stars	actor
みきみき	みきみき	人名	みき	aikatsu,stars	actor
みーたん	みーたん	人名	みき	aikatsu,stars	actor
未来みき	未来みき	人名	みーたん	aikatsu,stars	actor
みーたん	みーたん	人名	みーたん	aikatsu,stars	actor
天音みほ	天音みほ	人名	あまねみほ	aikatsu,stars	actor
天音みほ	天音みほ	人名	みほ	aikatsu,stars	actor
松岡ななせ	松岡ななせ	人名	まつおかななせ	aikatsu,stars	actor
松岡ななせ	松岡ななせ	人名	ななせ	aikatsu,stars	actor
星咲花那	星咲花那	人名	ほしざきかな	aikatsu,stars	actor
星咲花那	星咲花那	人名	かな	aikatsu,stars	actor
星咲花那	星咲花那	人名	おかな	aikatsu,stars	actor
相沢梨紗	相沢梨紗	人名	あいざわりさ	aikatsu,stars	actor
りさちー	りさちー	人名	あいざわりさ	aikatsu,stars	actor
相沢梨紗	相沢梨紗	人名	りさちー	aikatsu,stars	actor
りさちー	りさちー	人名	りさちー	aikatsu,stars	actor
相沢梨紗	相沢梨紗	人名	りさ	aikatsu,stars	actor
成瀬瑛美	成瀬瑛美	人名	なるせえいみ	aikatsu,stars	actor
成瀬瑛美	成瀬瑛美	人名	えいみ	aikatsu,stars	actor
成瀬瑛美	成瀬瑛美	人名	えいたそ	aikatsu,stars	actor
えいたそ	えいたそ	人名	えいたそ	aikatsu,stars	actor
堀越せな	堀越せな	人名	ほりこしせな	stars	actor
堀越せな	堀越せな	人名	せな	stars	actor
藤城リエ	藤城リエ	人名	ふじしろりえ	aikatsu,stars	actor
藤城リエ	藤城リエ	人名	りえ	aikatsu,stars	actor
STAR☆ANIS	STAR☆ANIS	人名	すたーあにす	aikatsu	actor
STAR☆ANIS	STAR☆ANIS	人名	すたあに	aikatsu	actor
AIKATSU☆STARS	AIKATSU☆STARS	人名	あいかつすたーず	aikatsu,stars	actor
AIKATSU☆STARS	AIKATSU☆STARS	人名	あいすた	aikatsu,stars	actor
